stage,conversation_id,category,turn,url,accessibility,accuracy,note
inaccessible,a2a7757a-05ba-4464-b51c-d878bbad5fb0,results_integrity,1,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0.0,0.0,Box link could not be retrieved in this session; content could not be verified to support the cited claim.
inaccessible,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,1,https://elections.maryland.gov/press_room/documents/Wait,0.0,0.0,URL path appears structurally valid but does not resolve to content; cannot verify it supports the claimed audit-related point.
inaccessible,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,1,https://elections.maryland.gov/press_room/documents/2016,0.0,0.0,URL does not resolve to content; no information available to verify audit relevance.
inaccessible,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,1,https://elections.maryland.gov/press_room/documents/Schaefer,0.0,0.0,URL does not resolve to content; no information available to verify audit relevance.
inaccessible,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,0.0,0.0,Box link could not be opened by the tool; content could not be verified against the claim.
inaccessible,dbad03e3-fb71-4c38-8a3d-4719018d6dfe,mail_in,3,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0.0,0.0,"The domain is blocked by robots.txt, so the page could not be retrieved to verify whether it supports the claim."
inaccessible,e46d514c-83b6-4bd7-925f-2f7989e9981b,edge_cases,2,https://mcg.montgomerycountymd.gov/Elections/Accessibility/voting-assistance.html,0.0,0.0,URL could not be retrieved due to robots.txt blocking Montgomery County site; content could not be verified.
inaccessible,f7a884bd-d19e-401b-9294-0dff5450b481,procedural,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2201796234648,0.0,0.0,"The URL is structurally valid but could not be loaded in this session, so we cannot verify whether its content supports the claimed deadlines."
inaccurate,02542554-aef1-45d8-a8a0-26ac332b295e,results_integrity,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,"Structurally valid URL, but content could not be retrieved due to box sharing restrictions; unable to verify whether the page supports the cited claim."
inaccurate,02542554-aef1-45d8-a8a0-26ac332b295e,results_integrity,2,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2205479080586,50.0,0.0,"Structurally valid URL, but content could not be retrieved due to box sharing restrictions; unable to verify whether the page supports the cited claim."
inaccurate,3b3af931-a277-45f7-9f47-f97a1261cdad,edge_cases,0,https://elections.maryland.gov/voter_registration/documents/Spanish_Internet_VRA.pdf,100.0,0.0,"PDF loads and is structurally valid, but it covers voter registration (Spanish VRA) and does not address ID requirements or mail-in ballot deadlines referenced in the claim."
inaccurate,3b3af931-a277-45f7-9f47-f97a1261cdad,edge_cases,0,https://elections.maryland.gov/elections/2026/index.html,100.0,0.0,"Page includes vote-by-mail information with deadlines in October 2026, not the June 2026 deadlines cited by the chatbot; therefore it does not support the specific deadlines claimed."
inaccurate,4fffbfab-cee3-4d3c-b801-990544985a00,results_integrity,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2175606069496,50.0,0.0,"Box share link structure appears valid, but the content could not be retrieved due to a fetch error."
inaccurate,4fffbfab-cee3-4d3c-b801-990544985a00,results_integrity,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2201796234648,50.0,0.0,"Box share link structure appears valid, but the content could not be retrieved due to a fetch error."
inaccurate,75d14b8e-2eb2-4652-a32a-4a9fc4a03bbd,procedural,1,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,Box content could not be retrieved due to access restrictions; cannot verify whether the page states polls open 7:00 AM to 8:00 PM.
inaccurate,9c610e4a-3f9a-4bb1-a84a-777ebfc3df16,mail_in,1,https://elections.maryland.gov/voting/documents/Mail_In_Ballot_Application-English.pdf,100.0,0.0,"The PDF shows how to return the mail-in ballot request form (by mail, fax, email, or in person), which does not support the chatbot’s claim of no electronic return for mail-in ballots and instead indicates electronic return options exist for the form."
inaccurate,9d08964d-99ca-4b23-ad24-35fe90f2ad9e,mail_in,2,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,50.0,0.0,"Unable to fetch content from the MCg subdomain due to robots.txt restrictions; cannot confirm that the page's content directly supports the claimed deadline. Related content on the Montgomery County Elections site (montgomerycountymd.gov) shows 8 PM deadlines for mail-in ballots and 8 PM drop-box cutoff, which would support the same claim when accessed on a shareable domain."
inaccurate,9e567325-03b8-47bd-b6d4-a0ee73f09380,results_integrity,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2302864787989,50.0,0.0,"Box link content could not be loaded in this session (access/retrieval issue). The URL is structurally valid, but its content could not be verified here, so accuracy regarding its cited claim remains unconfirmed."
inaccurate,cbd5b162-9fc4-41cc-b258-c2f5a1f3bf76,eligibility,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,50.0,0.0,Box link could not be loaded to verify content; unable to confirm whether it supports the cited ERIC expansion claim.
inaccurate,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2246330483012,50.0,0.0,"Box URL could not be retrieved due to an internal error, so content cannot be verified or its alignment with the claim confirmed."
inaccurate,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,3,https://elections.maryland.gov/press_room/documents/Voter,50.0,0.0,"URL appears structurally valid, but content could not be retrieved; no direct evidence in the page to support the chatbot's claim about post-election audit publication."
inaccurate,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,3,https://elections.maryland.gov/press_room/documents/Wait,50.0,0.0,"URL appears structurally valid, but content could not be retrieved; no direct evidence in the page to support the chatbot's claim about post-election audit publication."
inaccurate,db467eb7-8cd6-4e91-9deb-04811d466bfd,results_integrity,3,https://elections.maryland.gov/press_room/documents/PG12/PrecinctRegisterCounts/montgomery.pdf,100.0,0.0,PDF exists and is accessible; content shows Montgomery County precinct register counts (Eligible Active Voters on Precinct Register) but does not address post-election audit publication.
inaccurate,dbad03e3-fb71-4c38-8a3d-4719018d6dfe,mail_in,2,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,50.0,0.0,"URL is structurally valid; the page could not be retrieved due to a 400 error, so content cannot be verified against the claimed statement."
inaccurate,dbad03e3-fb71-4c38-8a3d-4719018d6dfe,mail_in,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,50.0,0.0,Box link could not be loaded due to an internal error; content could not be verified against the claim.
inaccurate,dbad03e3-fb71-4c38-8a3d-4719018d6dfe,mail_in,3,https://elections.maryland.gov/voting/provisional_voting.html,100.0,0.0,"Page is accessible and discusses provisional voting, but it does not address the 8:00 p.m. drop-off deadline for mail-in ballots or directly confirm the claim."
